column	dtype	role	description	source_or_derivation	recommended_use	valid_range_or_levels	missing_n	missing_pct	n_unique_nonmissing	example_values	notes
is_reg_trial	integer	condition coding	Indicator for explicit regulation trials.	Derived from condition	Subset selection for regulation-only models.	1 = up/down; 0 = passive	0	0.0	2	0, 1	Equivalent to condition != passive.
is_reg_run	integer	task structure	Indicator for regulation runs.	Derived from run and/or condition	QC and run-level filtering.	1 = run 3 or run 7; 0 = other runs	0	0.0	2	0, 1	In this design, regulation trials occur only in run 3 and run 7.
reg_condition	string/categorical	condition coding	Regulation direction for regulation trials.	Derived from condition	Regulation-only analyses.	up, down; missing for passive	2541	79.381	2	up, down	Use only after subsetting to is_reg_trial == 1 or handle missing explicitly.
condition_code_ud	float	condition coding	Signed coding for up versus down trials.	Derived from condition	Use only in regulation-only models comparing up and down.	up = +1, down = -1, passive = missing	2541	79.381	2	1, -1	Coefficient represents half the up-minus-down difference under ±1 coding.
condition_code_all	float	condition coding	Ordered signed coding across all conditions.	Derived from condition	Exploratory linear trend across down/passive/up; use with caution.	up = +1, passive = 0, down = -1	0	0.0	3	0, 1, -1	Do not treat as the only condition representation if nonlinear condition effects are possible.
condition_up	integer	condition coding	Indicator for up-regulation trials.	Dummy-coded from condition	Categorical regression models with passive or down as reference.	1 = up; 0 = otherwise	0	0.0	2	0, 1	Use with condition_down and/or condition_passive depending on model intercept.
condition_down	integer	condition coding	Indicator for down-regulation trials.	Dummy-coded from condition	Categorical regression models with passive or up as reference.	1 = down; 0 = otherwise	0	0.0	2	0, 1	Use with condition_up and/or condition_passive depending on model intercept.
condition_passive	integer	condition coding	Indicator for passive trials.	Dummy-coded from condition	Subsetting passive trials for baseline pain-encoding models.	1 = passive; 0 = otherwise	0	0.0	2	1, 0	Passive trials are the preferred baseline for expected-pain models.
run3_condition	string/categorical	task order	Regulation condition assigned to run 3 for the subject.	Derived from condition assignment in run 3	QC and order counterbalancing checks.	up or down	0	0.0	2	up, down	Used to derive up_first.
run7_condition	string/categorical	task order	Regulation condition assigned to run 7 for the subject.	Derived from condition assignment in run 7	QC and order counterbalancing checks.	up or down	0	0.0	2	down, up	Should be opposite of run3_condition.
up_first	integer	task order	Indicator of regulation order.	Derived from run3_condition	Subject-level order covariate or descriptive QC.	1 = up in run 3, down in run 7; 0 = down in run 3, up in run 7	0	0.0	2	1, 0	Avoid overinterpreting trial-level interactions with order because condition, run, and order are structurally coupled.
order_label	string/categorical	task order	Text label for regulation order.	Derived from up_first	Plotting, summaries, and QC tables.	up_first, down_first	0	0.0	2	up_first, down_first	Categorical version of up_first.
passive_context_shifted	integer	task context	Indicator for passive runs with shifted/higher temperature context.	Derived from run identity	Sensitivity covariate for passive baseline models.	1 = shifted passive context; 0 = standard passive context	0	0.0	2	0, 1	Useful because some passive runs were designed with a shifted temperature context.
temperature_raw	float	stimulus	Recorded stimulus intensity/temperature value.	Source events table	Primary sensory input predictor.	Recorded numeric values	0	0.0	13	44.3, 43.3, 42.3, 45.3, 46.3	Treat as the recorded temperature/intensity variable unless separately verified against acquisition metadata.
temperature_c_global	float	stimulus / derived	Globally centered temperature value.	temperature_raw minus grand mean	Regression models where a global intercept is meaningful.	Numeric centered values	0	0.0	13	-0.19875, -1.19875, -2.19875, 0.80125, 1.80125	Does not remove between-subject differences.
temperature_z_global	float	stimulus / derived	Globally standardized temperature value.	Global z-score of temperature_raw	Models requiring standardized coefficients across predictors.	Numeric z-score values	0	0.0	13	-0.134637, -0.812056, -1.48947, 0.542781, 1.2202	Use subject-wise version if focusing on within-subject effects.
temperature_c_subject	float	stimulus / derived	Subject-centered temperature value.	temperature_raw minus subject-specific mean	Within-subject sensory encoding models.	Numeric centered values	0	0.0	99	-0.237113, -1.23711, -2.23711, 0.762887, 1.76289	Recommended for within-subject pain-encoding estimates.
temperature_z_subject	float	stimulus / derived	Subject-standardized temperature value.	Subject-wise z-score of temperature_raw	Within-subject standardized modeling and effect-size comparisons.	Numeric z-score values	0	0.0	110	-0.159807, -0.833776, -1.50774, 0.514162, 1.18813	Mean approximately 0 and SD approximately 1 within each subject.
rating_raw	float	outcome	Raw recorded pain/warmth rating.	Source events table	Primary raw outcome for transparent reporting and sensitivity analyses.	Numeric recorded scale, observed 0–200 in this file	0	0.0	200	103, 3, 2, 104, 105	Do not describe as a strict 0–100 VAS unless verified; many values exceed 100.
rating_c_global	float	outcome / derived	Globally centered rating.	rating_raw minus grand mean	Regression models where a global intercept is meaningful.	Numeric centered values	0	0.0	200	16.0815, -83.9185, -84.9185, 17.0815, 18.0815	Keeps between-subject differences.
rating_z_global	float	outcome / derived	Globally standardized rating.	Global z-score of rating_raw	Standardized descriptive models across the full dataset.	Numeric z-score values	0	0.0	200	0.287572, -1.50064, -1.51852, 0.305455, 0.323337	Subject-wise z-score is usually better for repeated-measures regulation models.
rating_c_subject	float	outcome / derived	Subject-centered rating.	rating_raw minus subject-specific mean	Within-subject models of pain reports.	Numeric centered values	0	0.0	1703	10.866, -89.134, -90.134, 11.866, 12.866	Removes subject-level rating offset.
rating_z_subject	float	outcome / derived	Subject-standardized rating.	Subject-wise z-score of rating_raw	Recommended normalized outcome for group-level behavioral models.	Numeric z-score values	0	0.0	1743	0.204806, -1.68003, -1.69888, 0.223654, 0.242502	Mean approximately 0 and SD approximately 1 within each subject.
rating_01_subject	float	outcome / derived	Rating rescaled to 0–1 within each subject.	Subject-wise min-max scaling of rating_raw	Sensitivity analysis or visualization.	0–1 within subject, if subject has nonzero rating range	0	0.0	1452	0.569061, 0.0165746, 0.0110497, 0.574586, 0.58011	Less robust than z-scoring if extreme values exist.
rating_over_100	integer	QC flag	Indicator that raw rating exceeds 100.	Derived from rating_raw	QC reporting and sensitivity analyses.	1 = rating_raw > 100; 0 = otherwise	0	0.0	2	1, 0	High prevalence indicates this is not merely rare outlier contamination.
rating_z_existing	float	legacy / QC	Subject-standardized rating from the previous input table.	Existing rating_z column from prior enriched table	QC comparison against recomputed rating_z_subject.	Numeric z-score values	0	0.0	1743	0.204806, -1.68003, -1.69888, 0.223654, 0.242502	Retained for audit trail; do not use as primary if rating_z_subject is available.
rating_z_diff_existing_minus_recomputed	float	QC	Difference between previous and recomputed subject-wise rating z-scores.	rating_z_existing minus rating_z_subject	QC check for standardization consistency.	Numeric, ideally near zero	0	0.0	62	-1.38778e-16, 4.44089e-16, -8.32667e-17, -1.11022e-16, -5.55112e-17	Large values would indicate a mismatch in standardization.
stim_onset_abs	float	timing	Original/absolute stimulus onset as recorded in the source table.	Source events table	Audit trail and recomputing run-relative timing.	Seconds	0	0.0	2464	10.216, 49.473, 85.723, 120.992, 157.241	May be cumulative across runs in the source data; do not use directly for per-run fMRI GLM.
stim_onset_runrel	float	timing	Stimulus onset relative to the start of the current run.	Corrected/recomputed from source timing and run boundaries	Primary stimulus onset for per-run fMRI event files.	Seconds from run start	0	0.0	1701	10.216, 49.473, 85.723, 120.992, 157.241	Use this, not stim_onset_abs, for run-level fMRI modeling.
rating_onset_abs	float	timing	Original/absolute rating onset as recorded in the source table.	Source events table	Audit trail and recomputing run-relative rating timing.	Seconds	0	0.0	2600	29.246, 68.487, 103.756, 138.011, 176.255	May be cumulative or otherwise not directly run-relative.
rating_onset_rel_first_stim_existing	float	legacy timing / QC	Previous rating-onset column that appears relative to the first stimulus in each run.	Existing timing column from prior enriched table	QC/provenance only.	Seconds	0	0.0	1889	19.03, 58.271, 93.54, 127.795, 166.039	Not recommended as fMRI run-relative rating onset.
rating_delay_from_stim_onset	float	timing / derived	Delay between stimulus onset and rating onset.	rating_onset_abs minus stim_onset_abs	QC of trial timing and recomputing rating_onset_runrel.	Seconds	0	0.0	115	19.03, 19.014, 18.033, 17.019, 19.014	Can vary slightly across trials.
run_start_abs_est	float	timing / derived	Estimated absolute start time of the run.	stim_onset_abs minus stim_onset_runrel	Timing correction and QC.	Seconds	0	0.0	11	0, 418, 836, 1218, 1636	Used to derive true run-relative rating onset.
rating_onset_runrel	float	timing	Rating onset relative to the start of the current run.	rating_onset_abs minus run_start_abs_est	Primary rating onset for fMRI models that include rating-period regressors.	Seconds from run start	0	0.0	1916	29.246, 68.487, 103.756, 138.011, 176.255	Corrected version; preferred over the legacy first-stimulus-relative column.
first_stim_onset_runrel	float	timing / QC	Run-relative onset of the first stimulus in the run.	Minimum stim_onset_runrel within subject/run	Timing QC and legacy timing reconciliation.	Seconds from run start	0	0.0	7	10.216, 10.216, 10.216, 10.217, 10.217	Useful for checking whether older timing columns were first-stimulus-relative.
rating_onset_rel_first_stim_recomputed	float	timing / QC	Rating onset relative to the first stimulus in the run, recomputed from corrected timing.	rating_onset_runrel minus first_stim_onset_runrel	QC comparison to rating_onset_rel_first_stim_existing.	Seconds	0	0.0	1999	19.03, 58.271, 93.54, 127.795, 166.039	Not the preferred onset for fMRI GLM.
stim_duration	float	timing	Duration of the thermal stimulation period.	Source table or task constant	Event duration for stimulus regressors.	Seconds; expected 12.5	0	0.0	1	12.5	Check for constancy across trials.
rating_duration	float	timing	Duration of the rating period.	Source table or task constant	Event duration for rating-period regressors.	Seconds; expected 11	0	0.0	1	11	Check for constancy across trials.
stim_offset_runrel	float	timing / derived	Stimulus offset relative to the start of the current run.	stim_onset_runrel plus stim_duration	Timing QC and event-window definitions.	Seconds from run start	0	0.0	1697	22.716, 61.973, 98.223, 133.492, 169.741	Derived value.
rating_offset_runrel	float	timing / derived	Rating-period offset relative to the start of the current run.	rating_onset_runrel plus rating_duration	Timing QC and event-window definitions.	Seconds from run start	0	0.0	1879	40.246, 79.487, 114.756, 149.011, 187.255	Derived value.
run_centered	float	time/order covariate	Globally centered run number.	run minus global mean run	Control for run-order effects in pooled models.	Numeric centered run values	0	0.0	9	-4, -3, -2, -1, 0	In this balanced design, run_centered and run_centered_subject are typically equivalent.
run_centered_subject	float	time/order covariate	Subject-centered run number.	run minus subject-specific mean run	Within-subject time/order covariate.	Numeric centered values	0	0.0	9	-4, -3, -2, -1, 0	Recommended when modeling within-subject temporal effects.
trial_in_run_c	float	time/order covariate	Centered trial index within run.	trial_in_run centered within subject/run or globally as prepared	Control for within-run habituation, fatigue, or regulation decay.	Numeric centered values	0	0.0	21	-5, -4, -3, -2, -1	Prefer this over raw trial_in_run in regression.
global_trial_z_subject	float	time/order covariate	Standardized global trial position within subject.	Subject-wise z-score of global_trial_index	Control for experiment-wide temporal effects.	Numeric z-score values	0	0.0	97	-1.71429, -1.67857, -1.64286, -1.60714, -1.57143	Can be correlated with run; check collinearity before combining with run covariates.
prev_temperature_subject	float	history variable	Temperature value on the immediately preceding trial within the same subject.	Previous trial's temperature within subject	Modeling carry-over, adaptation, and sequential effects.	Numeric; missing for first trial per subject	33	1.031	13	44.3, 43.3, 42.3, 45.3, 46.3	May cross run boundaries.
prev_rating_raw_subject	float	history variable	Raw rating on the immediately preceding trial within the same subject.	Previous trial's rating_raw within subject	Modeling behavioral state and carry-over effects.	Numeric; missing for first trial per subject	33	1.031	200	103, 3, 2, 104, 105	May cross run boundaries.
prev_rating_z_subject	float	history variable	Subject-standardized rating on the immediately preceding trial within subject.	Previous trial's rating_z_subject within subject	Preferred previous-rating predictor for within-subject models.	Numeric z-score; missing for first trial per subject	33	1.031	1728	0.204806, -1.68003, -1.69888, 0.223654, 0.242502	May cross run boundaries.
prev_condition_subject	string/categorical	history variable	Condition label on the immediately preceding trial within subject.	Previous trial's condition within subject	Sequential condition/carry-over analyses.	passive, up, down; missing for first trial per subject	33	1.031	3	passive, up, down	May cross run boundaries.
prev_run_subject	float	history variable	Run number of the immediately preceding trial within subject.	Previous trial's run within subject	QC and identifying cross-run previous-trial cases.	1–9; missing for first trial per subject	33	1.031	9	1, 2, 3, 4, 5	Use same_run_as_prev to distinguish within-run from cross-run previous trials.
has_prev_subject	integer	history flag	Indicator that the current trial has a preceding trial within subject.	Derived from whether a previous subject-level trial exists	Missingness handling for subject-level history predictors.	1 = has previous trial; 0 = first trial for subject	0	0.0	2	0, 1	First trial per subject has no previous-trial history.
same_run_as_prev	integer	history flag	Indicator that previous subject-level trial occurred in the same run.	run equals prev_run_subject	Separating within-run from cross-run carry-over effects.	1 = previous trial in same run; 0 = different/no previous run	0	0.0	2	0, 1	Useful because breaks between runs may disrupt carry-over.
prev_temperature_withinrun	float	history variable	Temperature on the immediately preceding trial within the same run.	Previous trial's temperature within the same subject and run	Within-run adaptation and sequential sensory effects.	Numeric; missing for first trial of each run	297	9.278	13	44.3, 43.3, 42.3, 45.3, 46.3	Does not cross run boundaries.
prev_rating_raw_withinrun	float	history variable	Raw rating on the immediately preceding trial within the same run.	Previous trial's rating_raw within the same subject and run	Within-run behavioral state and carry-over models.	Numeric; missing for first trial of each run	297	9.278	200	103, 3, 2, 104, 105	Does not cross run boundaries.
prev_condition_withinrun	string/categorical	history variable	Condition label on the immediately preceding trial within the same run.	Previous trial's condition within the same subject and run	Within-run sequential condition analyses.	passive, up, down; missing for first trial of each run	297	9.278	3	passive, up, down	In regulation runs, previous condition should match the run's regulation condition.
prev_stim_onset_runrel_withinrun	float	history / timing variable	Run-relative stimulus onset of the previous within-run trial.	Previous trial's stim_onset_runrel within the same subject and run	Computing inter-trial intervals and timing-related carry-over.	Seconds; missing for first trial of each run	297	9.278	1504	10.216, 49.473, 85.723, 120.992, 157.241	Used to derive delta_prev_stim_withinrun.
delta_prev_stim_withinrun	float	history / timing variable	Time elapsed since the previous stimulus onset within the same run.	stim_onset_runrel minus prev_stim_onset_runrel_withinrun	Control for local temporal spacing and carry-over.	Seconds; missing for first trial of each run	297	9.278	554	39.257, 36.25, 35.269, 36.249, 37.247	Equivalent to within-run stimulus-onset interval.
has_prev_withinrun	integer	history flag	Indicator that the current trial has a previous trial within the same run.	Derived from whether a previous within-run trial exists	Missingness handling for within-run history predictors.	1 = has previous within-run trial; 0 = first trial of run	0	0.0	2	0, 1	First trial of every subject/run has no within-run previous trial.
prev_rating_minus_expected_subject_mean	float	history / derived	Previous raw rating expressed relative to the subject's mean rating.	prev_rating_raw_subject minus subject-specific mean rating	Subject-centered previous-pain state predictor.	Numeric; missing for first trial per subject	33	1.031	1688	10.866, -89.134, -90.134, 11.866, 12.866	Useful alternative to prev_rating_z_subject when raw-unit interpretation is desired.
prev_temp_minus_subject_mean	float	history / derived	Previous temperature expressed relative to the subject's mean temperature.	prev_temperature_subject minus subject-specific mean temperature	Subject-centered previous-stimulus predictor.	Numeric; missing for first trial per subject	33	1.031	99	-0.237113, -1.23711, -2.23711, 0.762887, 1.76289	Useful for carry-over models.
rating_missing	integer	QC flag	Indicator that rating_raw is missing.	Derived from rating_raw missingness	QC and exclusion rules.	1 = missing rating; 0 = present	0	0.0	1	0	Expected to be 0 for all rows in the cleaned file.
temperature_missing	integer	QC flag	Indicator that temperature_raw is missing.	Derived from temperature_raw missingness	QC and exclusion rules.	1 = missing temperature; 0 = present	0	0.0	1	0	Expected to be 0 for all rows in the cleaned file.
timing_missing	integer	QC flag	Indicator that required timing information is missing.	Derived from key timing-column missingness	QC and exclusion rules before fMRI event construction.	1 = missing key timing; 0 = present	0	0.0	1	0	Expected to be 0 for all rows in the cleaned file.
